"","Proliferating-like","Osteoblast-like","Chondroblast-like","Fibroblast-like","Top1","Top2","MinScore","RelativeDominance","Mixed","TopCluster","SimplicityScore"
"Sample53",0.244371820028642,-0.0454776870392621,-0.0840368282331493,-0.127283875997525,0.244371820028642,-0.0454776870392621,-0.127283875997525,0.779887164833058,FALSE,"Proliferating-like",0.112501128445025
"Sample1",0.23083183057702,-0.116019865512474,-0.0188171312494296,-0.0990599179097709,0.23083183057702,-0.0188171312494296,-0.116019865512474,0.719757073818765,FALSE,"Proliferating-like",0.0958686147205146
"Sample25",0.228211207599688,-0.0642544409401665,-0.151300554553932,0.00925158860029115,0.228211207599688,0.00925158860029115,-0.151300554553932,0.576950811107577,FALSE,"Proliferating-like",0.0923965517802179
"Sample36",0.222316579108634,0.0801106304474139,-0.170739649899264,-0.163874583458882,0.222316579108634,0.0801106304474139,-0.170739649899264,0.361795433239051,FALSE,"Proliferating-like",0.087861569960501
"Sample30",0.205408460607075,-0.184707512780222,-0.0706239347290394,0.0162287172884642,0.205408460607075,0.0162287172884642,-0.184707512780222,0.484932061807165,FALSE,"Proliferating-like",0.0850962420042579
"Sample74",0.206727378019023,-0.0622487105536223,-0.206441605207588,0.0471331429078597,0.206727378019023,0.0471331429078597,-0.206441605207588,0.38626867356989,FALSE,"Proliferating-like",0.0810037842424153
"Sample86",0.194911811003457,-0.157334663151657,0.0103777918859935,-0.0789934027873674,0.194911811003457,0.0103777918859935,-0.157334663151657,0.5238775478451,FALSE,"Proliferating-like",0.0754950203340393
"Sample27",0.198053315020844,-0.0734539256493813,0.120003807375702,-0.298201787999628,0.198053315020844,0.120003807375702,-0.298201787999628,0.157276987521321,FALSE,"Proliferating-like",0.0707339288679606
"Sample34",0.187390020201501,0.121955993622822,-0.237779292939619,-0.0735687062916202,0.187390020201501,0.121955993622822,-0.237779292939619,0.153901103763244,FALSE,"Proliferating-like",0.0555309075914303
"Sample66",0.178374854614927,0.0668516175800838,-0.243823123365405,0.0262252721093159,0.178374854614927,0.0668516175800838,-0.243823123365405,0.264149150046471,FALSE,"Proliferating-like",0.0528023388107617
"Sample72",0.171556062394471,-0.0684344444668009,0.110835222744125,-0.243890020976576,0.171556062394471,0.110835222744125,-0.243890020976576,0.146158170893415,FALSE,"Proliferating-like",0.0500518620484073
"Sample95",0.188859591096973,-0.273537769006408,-0.0139423560574626,0.138458568908695,0.188859591096973,0.138458568908695,-0.273537769006408,0.108999372697563,FALSE,"Proliferating-like",0.0467952280669265
"Sample82",0.158147733947483,0.0355791983045917,-0.0878282132244062,-0.105065900935766,0.158147733947483,0.0355791983045917,-0.105065900935766,0.465661802426222,FALSE,"Proliferating-like",0.0430892142422429
"Sample51",0.160425180964548,-0.118913152733286,0.0878081182173343,-0.115391047212504,0.160425180964548,0.0878081182173343,-0.118913152733286,0.25996096484833,FALSE,"Proliferating-like",0.039205168065825
"Sample62",0.140510670695297,0.00568656313837318,-0.0751161451106224,-0.0569293763870837,0.140510670695297,0.00568656313837318,-0.0751161451106224,0.625265958007171,FALSE,"Proliferating-like",0.0335722515592312
"Sample31",0.132017014777638,-0.0626795685861053,-0.0816090450535688,0.0223594673096688,0.132017014777638,0.0223594673096688,-0.0816090450535688,0.513315405220755,FALSE,"Proliferating-like",0.0294812278530888
"Sample39",0.10294106286321,-0.0672011508930743,-0.0704726097470359,0.00737092890419837,0.10294106286321,0.00737092890419837,-0.0704726097470359,0.551110719936191,FALSE,"Proliferating-like",0.0208837739989617
"Sample43",0.101550252467312,-0.0626042833628931,-0.119652762110918,0.0522283226879795,0.101550252467312,0.0522283226879795,-0.119652762110918,0.222971327372619,FALSE,"Proliferating-like",0.0193772657621132
"Sample22",0.0905617581047659,-0.106174549711862,-0.00954438604140894,-0.00128139598758819,0.0905617581047659,-0.00128139598758819,-0.106174549711862,0.466833779243018,FALSE,"Proliferating-like",0.0186107597526014
"Sample54",0.0819820239918374,-0.0194913904457357,0.0372530997362418,-0.106501184013791,0.0819820239918374,0.0372530997362418,-0.106501184013791,0.237309862925614,FALSE,"Proliferating-like",0.0119957789830498
"Sample90",0.0566698480016672,-0.0311353676100916,-0.0567033866139734,0.039931352828444,0.0566698480016672,0.039931352828444,-0.0567033866139734,0.147640624614533,FALSE,"Proliferating-like",0.00458338533026735
"Sample59",-0.0581854659898154,0.253243281311482,-0.130892818697347,-0.0510509161964116,0.253243281311482,-0.0510509161964116,-0.130892818697347,0.792152045852758,FALSE,"Osteoblast-like",0.117803932330318
"Sample56",-0.119547496203941,0.261682585944644,-0.125513960342382,-0.00159999973946932,0.261682585944644,-0.00159999973946932,-0.125513960342382,0.679971420739233,FALSE,"Osteoblast-like",0.117165062299155
"Sample50",0.103689543274499,0.250747623242206,-0.0828861101955157,-0.27243205703418,0.250747623242206,0.103689543274499,-0.27243205703418,0.281085228482152,FALSE,"Osteoblast-like",0.109475329502831
"Sample9",-0.119383178349438,0.241175277586869,0.0922982219514842,-0.239557953609778,0.241175277586869,0.0922982219514842,-0.239557953609778,0.309687464843648,FALSE,"Osteoblast-like",0.105490909190272
"Sample61",-0.0501412999285438,0.199971437183123,-0.113260280751195,-0.0185704357302795,0.199971437183123,-0.0185704357302795,-0.113260280751195,0.697700329821735,FALSE,"Osteoblast-like",0.0717505783030796
"Sample7",-0.129552494071704,0.186121956824244,-0.00543209375743642,-0.0931682992019553,0.186121956824244,-0.00543209375743642,-0.129552494071704,0.606808850187308,FALSE,"Osteoblast-like",0.0697007458933974
"Sample46",-0.0237981734715245,0.177871409717662,-0.0496706895428171,-0.132620379122028,0.177871409717662,-0.0237981734715245,-0.132620379122028,0.649516639209129,FALSE,"Osteoblast-like",0.0652944842378849
"Sample52",-0.0305192335482543,0.182558355319466,0.0407295391394002,-0.184825722506069,0.182558355319466,0.0407295391394002,-0.184825722506069,0.38605052516026,FALSE,"Osteoblast-like",0.0608308703914189
"Sample4",-0.0955105307792097,0.170145492099474,0.076464957286552,-0.141934512730879,0.170145492099474,0.076464957286552,-0.141934512730879,0.300181150227318,FALSE,"Osteoblast-like",0.047125858805682
